,PlaylistID,Song,SongURI,PreviewLink,Album,Artist,Genres,BigAlbumArt,SmallAlbumArt,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,TimeSignature
70,5gUZgKtFX3vczXE8fItSxo,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",spotify:track:612VcBshQcy4mpB2utGc3H,,Unplugged (Deluxe Edition),Eric Clapton,[],https://i.scdn.co/image/ab67616d00001e02d55ec7fcfacd95e73877b787,https://i.scdn.co/image/ab67616d00004851d55ec7fcfacd95e73877b787,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,280000,4
71,5gUZgKtFX3vczXE8fItSxo,Knockin' On Heaven's Door,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,https://p.scdn.co/mp3-preview/b1fb2e0d90764724242501e5a0c3c2393698d499?cid=8ea9544c774649e49a2c2e41feb74396,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),Bob Dylan,[],https://i.scdn.co/image/ab67616d00001e026c86683d20c72e3874c11c6d,https://i.scdn.co/image/ab67616d000048516c86683d20c72e3874c11c6d,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,149880,4
72,5gUZgKtFX3vczXE8fItSxo,My Way,spotify:track:6lTTzSk1hRrxp4VMwXBp2l,https://p.scdn.co/mp3-preview/cdd7c20e1504ab770ad95b0595888a6094397924?cid=8ea9544c774649e49a2c2e41feb74396,Ultimate Sinatra,Frank Sinatra,[],https://i.scdn.co/image/ab67616d00001e02b19cb81319fbfd9ed54baeae,https://i.scdn.co/image/ab67616d00004851b19cb81319fbfd9ed54baeae,0.279,0.454,2,-7.733,1,0.0316,0.395,0.0,0.198,0.216,150.661,274933,4
73,5gUZgKtFX3vczXE8fItSxo,Hurt,spotify:track:5rpRzNcJZqKQXk9PIjreB6,https://p.scdn.co/mp3-preview/657878f3992f31d5ae53d0fc3b7658786c30f1bf?cid=8ea9544c774649e49a2c2e41feb74396,Unearthed,Johnny Cash,[],https://i.scdn.co/image/ab67616d00001e02b905a2b99e3510c2fd7d07c2,https://i.scdn.co/image/ab67616d00004851b905a2b99e3510c2fd7d07c2,0.544,0.378,9,-8.607,0,0.0264,0.719,0.00035,0.105,0.149,91.078,216533,4
74,5gUZgKtFX3vczXE8fItSxo,Free Bird,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://p.scdn.co/mp3-preview/52d7f7506e9ac5e3fc059183c2db33f0dfd9b8e4?cid=8ea9544c774649e49a2c2e41feb74396,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,[],https://i.scdn.co/image/ab67616d00001e02128450651c9f0442780d8eb8,https://i.scdn.co/image/ab67616d00004851128450651c9f0442780d8eb8,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,4
75,5gUZgKtFX3vczXE8fItSxo,Over the Rainbow,spotify:track:3oQomOPRNQ5NVFUmLJHbAV,https://p.scdn.co/mp3-preview/2b0ebc854ece09122c1918aeff6af258493defe9?cid=8ea9544c774649e49a2c2e41feb74396,Alone In Iz World,Israel Kamakawiwo'ole,[],https://i.scdn.co/image/ab67616d00001e0256c868c8c85e7e4e62bd9ec1,https://i.scdn.co/image/ab67616d0000485156c868c8c85e7e4e62bd9ec1,0.671,0.153,0,-13.569,1,0.0404,0.912,5.53e-05,0.0771,0.658,85.6,211933,4
76,5gUZgKtFX3vczXE8fItSxo,"Time To Say Goodbye - Live At Central Park, New York / 2011",spotify:track:1Jw2mwSScPEROBomYw6L0g,https://p.scdn.co/mp3-preview/a0b2a6f9bd47b5238b3ed868fc445f5b0c3a14c0?cid=8ea9544c774649e49a2c2e41feb74396,Concerto: One Night In Central Park (Remastered),Andrea Bocelli,[],https://i.scdn.co/image/ab67616d00001e02129b908b63777a40b03d0d6c,https://i.scdn.co/image/ab67616d00004851129b908b63777a40b03d0d6c,0.23,0.305,7,-9.827,1,0.0318,0.936,1.67e-06,0.744,0.446,85.786,253991,3
77,5gUZgKtFX3vczXE8fItSxo,Live And Die,spotify:track:19n9s9SfnLtwPEODqk8KCT,https://p.scdn.co/mp3-preview/9580b63493ff997aa96d13207ad8309a0222ff65?cid=8ea9544c774649e49a2c2e41feb74396,The Carpenter,The Avett Brothers,[],https://i.scdn.co/image/ab67616d00001e02257e4eed50e4d823f8a0dac9,https://i.scdn.co/image/ab67616d00004851257e4eed50e4d823f8a0dac9,0.585,0.779,11,-5.083,1,0.0269,0.0827,1.77e-06,0.151,0.58,118.015,271187,4
78,5gUZgKtFX3vczXE8fItSxo,I'll Fly Away,spotify:track:40EtuBA1rqr6yGIVfhg5Cx,https://p.scdn.co/mp3-preview/7633c0e0c66e7558136566ecae8264df4db8f80f?cid=8ea9544c774649e49a2c2e41feb74396,My Mother's Hymn Book,Johnny Cash,[],https://i.scdn.co/image/ab67616d00001e02b83770517c2b17fc9a575c7c,https://i.scdn.co/image/ab67616d00004851b83770517c2b17fc9a575c7c,0.634,0.0919,4,-12.718,0,0.0308,0.946,0.0,0.119,0.448,94.418,113400,4
79,5gUZgKtFX3vczXE8fItSxo,Heaven Song,spotify:track:6CA7jtR1F7ijfYqvnzI6Yg,,Heaven & Earth,Phil Wickham,[],https://i.scdn.co/image/ab67616d00001e02339017fac72cdd413de788da,https://i.scdn.co/image/ab67616d00004851339017fac72cdd413de788da,0.462,0.31,7,-9.428,1,0.028,0.408,0.0,0.122,0.316,134.01,244547,4
